epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,88547.4,0.98284,0.35593,0.00242,0.85453,0.80267,0.86296,0.64142,1.06128,0.41377,0.0032,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,89968.3,0.97735,0.35126,0.0024,0.85295,0.80454,0.86349,0.64183,1.06132,0.41498,0.0032,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,91388.9,0.96853,0.34714,0.00239,0.84917,0.80775,0.86282,0.6415,1.06164,0.41567,0.00321,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,92810.7,0.97232,0.34941,0.00238,0.85145,0.80375,0.86244,0.64145,1.06179,0.41634,0.00321,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,94234.4,0.96704,0.34462,0.00237,0.84696,0.8094,0.86284,0.64212,1.06215,0.41753,0.00321,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,95657.6,0.95976,0.34466,0.00235,0.84867,0.80802,0.86235,0.64168,1.06274,0.41827,0.00321,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,97081,0.95229,0.33792,0.00233,0.85454,0.804,0.862,0.64177,1.06285,0.41912,0.00321,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,98504.6,0.9439,0.33439,0.00233,0.85484,0.80319,0.86146,0.64122,1.06346,0.42018,0.00321,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,99928.8,0.94003,0.33419,0.0023,0.85493,0.80233,0.86106,0.64089,1.06361,0.42198,0.00321,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,101352,0.93448,0.33003,0.00229,0.85337,0.80391,0.86073,0.64109,1.06422,0.42277,0.00321,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,102776,0.93436,0.33021,0.00228,0.85579,0.80063,0.86054,0.64097,1.06487,0.42402,0.00321,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,104202,0.91861,0.32342,0.00227,0.84958,0.80379,0.85955,0.64023,1.06517,0.426,0.00322,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,105626,0.91662,0.32425,0.00222,0.8528,0.80037,0.85932,0.64008,1.06576,0.42726,0.00322,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,107050,0.91378,0.32155,0.00221,0.84938,0.80507,0.85877,0.63938,1.06598,0.42859,0.00322,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,108476,0.90608,0.31725,0.0022,0.85029,0.80316,0.85768,0.63874,1.06666,0.43015,0.00322,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,109899,0.90559,0.31705,0.00221,0.85303,0.80245,0.85734,0.63874,1.06703,0.43166,0.00322,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,111324,0.90013,0.31804,0.0022,0.85359,0.80143,0.85639,0.63804,1.06746,0.43355,0.00322,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,112746,0.88702,0.30712,0.00214,0.85503,0.80087,0.85648,0.63825,1.06797,0.43514,0.00322,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,114168,0.88351,0.30626,0.00214,0.85249,0.80149,0.85589,0.63799,1.06857,0.43745,0.00323,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,115593,0.87453,0.30424,0.00213,0.85117,0.80142,0.85523,0.63777,1.06937,0.43893,0.00323,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,117018,0.86857,0.30049,0.00213,0.85208,0.8002,0.8546,0.63717,1.07,0.44133,0.00323,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,118440,0.86334,0.29759,0.0021,0.85089,0.80082,0.85386,0.63678,1.07049,0.44346,0.00323,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,119862,0.86016,0.29477,0.00207,0.8474,0.80369,0.85374,0.63675,1.07113,0.44497,0.00324,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,121282,0.84789,0.29237,0.00206,0.84109,0.80703,0.85306,0.6366,1.0719,0.44726,0.00324,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,122706,0.84231,0.28911,0.00204,0.83778,0.80808,0.8527,0.63666,1.07263,0.44854,0.00324,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,124127,0.83955,0.28779,0.00205,0.8395,0.80373,0.85204,0.63612,1.07352,0.45074,0.00324,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,125547,0.83415,0.28501,0.002,0.85464,0.79333,0.85187,0.6364,1.07427,0.45338,0.00325,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,126969,0.82243,0.28098,0.00199,0.85318,0.79392,0.85123,0.63597,1.07528,0.45616,0.00325,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,128393,0.81904,0.27967,0.00198,0.8513,0.79676,0.85005,0.63529,1.0759,0.45898,0.00325,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,129813,0.75059,0.22475,0.00213,0.85391,0.79486,0.8499,0.63536,1.07689,0.46145,0.00326,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,131229,0.73681,0.22007,0.00207,0.85244,0.79475,0.84932,0.63519,1.0778,0.46448,0.00326,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,132646,0.73125,0.21736,0.00205,0.85352,0.79439,0.84816,0.63445,1.0785,0.46805,0.00326,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,134064,0.72025,0.21407,0.00202,0.85528,0.7921,0.84777,0.63448,1.07951,0.47082,0.00326,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,135480,0.71228,0.21091,0.00199,0.85047,0.79501,0.84712,0.63427,1.08041,0.47431,0.00327,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,136896,0.70075,0.20706,0.00198,0.84742,0.79523,0.8457,0.63335,1.08123,0.47826,0.00327,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,138313,0.69498,0.2054,0.00195,0.84747,0.79539,0.84574,0.63369,1.08214,0.4829,0.00327,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,139731,0.69104,0.20314,0.00193,0.85584,0.78921,0.84544,0.63355,1.08323,0.48624,0.00328,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,141149,0.6825,0.20044,0.0019,0.85049,0.79206,0.84449,0.63275,1.08454,0.48993,0.00328,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,142565,0.67706,0.1992,0.00188,0.8507,0.79284,0.84416,0.63252,1.0856,0.49367,0.00328,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
