epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,10280.6,1.56831,0.80599,0.00164,0.56967,0.44376,0.46253,0.28236,1.69798,1.21383,0.00273,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10473,1.56601,0.80558,0.00163,0.56842,0.43484,0.45616,0.27883,1.70404,1.21247,0.00273,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10665.5,1.54332,0.78954,0.00162,0.57377,0.44351,0.46045,0.28165,1.70072,1.21585,0.00273,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10857.7,1.55164,0.78775,0.00161,0.58135,0.4398,0.46412,0.28564,1.69712,1.21115,0.00273,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11050.1,1.5426,0.78599,0.0016,0.57317,0.44102,0.46345,0.28545,1.6883,1.21783,0.00271,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11241.5,1.53072,0.77591,0.0016,0.57411,0.44308,0.46234,0.28515,1.69592,1.22987,0.00272,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11434.3,1.5371,0.78029,0.00159,0.56425,0.44487,0.46067,0.28291,1.69578,1.22932,0.00272,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11627.6,1.52732,0.77372,0.00158,0.57051,0.44222,0.46252,0.2844,1.69085,1.22375,0.00271,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11819.8,1.5164,0.76594,0.00157,0.57676,0.43343,0.45914,0.28353,1.69249,1.23435,0.00272,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12013.2,1.51608,0.76203,0.00156,0.57776,0.43622,0.46043,0.2819,1.68967,1.23687,0.00271,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12205.7,1.50349,0.75614,0.00156,0.5652,0.43965,0.45727,0.28178,1.69394,1.23134,0.00271,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12398.9,1.50158,0.75404,0.00155,0.58267,0.43212,0.45824,0.28135,1.69505,1.23875,0.00271,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12591.8,1.49666,0.74725,0.00154,0.58754,0.43417,0.45747,0.28054,1.69611,1.24309,0.00272,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12783.7,1.49377,0.75003,0.00155,0.57982,0.43177,0.45741,0.28106,1.6931,1.2405,0.00272,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12975.7,1.49236,0.74182,0.00153,0.59253,0.43073,0.46173,0.28329,1.69365,1.24434,0.00272,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,13167.3,1.48876,0.73684,0.00151,0.58405,0.43683,0.4613,0.28331,1.69353,1.24355,0.00272,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13359.5,1.47553,0.73345,0.00152,0.58504,0.44075,0.46142,0.2832,1.69056,1.2428,0.00271,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13551.4,1.47194,0.72883,0.0015,0.57403,0.44857,0.4615,0.28311,1.69596,1.24322,0.00272,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13743.1,1.46754,0.7271,0.00149,0.58123,0.4403,0.46065,0.28271,1.69745,1.24963,0.00273,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13935.2,1.46734,0.7266,0.00149,0.586,0.43934,0.46211,0.28328,1.69984,1.24994,0.00273,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14127.9,1.45809,0.71522,0.00149,0.58978,0.42997,0.45926,0.28249,1.70113,1.25914,0.00273,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,14320.1,1.46951,0.72183,0.00147,0.58135,0.43508,0.4582,0.28206,1.69743,1.25854,0.00273,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,14512.6,1.43928,0.7076,0.00146,0.5864,0.43325,0.4592,0.28233,1.69398,1.26019,0.00272,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14706.6,1.43554,0.70396,0.00147,0.58147,0.43817,0.46035,0.28279,1.69601,1.26174,0.00272,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14899.3,1.43888,0.70372,0.00145,0.58506,0.43187,0.45646,0.28077,1.69704,1.2682,0.00272,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15091.9,1.43778,0.70155,0.00145,0.573,0.43739,0.45656,0.28119,1.69869,1.26839,0.00272,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,15285.6,1.42301,0.68997,0.00144,0.58489,0.43674,0.45826,0.28167,1.69899,1.27059,0.00272,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,15478.7,1.4299,0.69587,0.00143,0.59075,0.43405,0.45906,0.28286,1.69968,1.27407,0.00273,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15670.6,1.42777,0.6924,0.00143,0.59141,0.43346,0.45817,0.28193,1.699,1.27802,0.00273,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15862.6,1.42307,0.68938,0.00142,0.58256,0.43948,0.46203,0.28408,1.69941,1.27565,0.00272,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,16054.7,1.40787,0.68017,0.00141,0.59166,0.43245,0.46043,0.28255,1.69968,1.28142,0.00273,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,16247.8,1.40673,0.68091,0.00141,0.59017,0.43438,0.46115,0.2825,1.70192,1.28144,0.00273,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16441.8,1.40946,0.68212,0.0014,0.58977,0.43326,0.45965,0.28136,1.70258,1.28276,0.00274,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16634.5,1.39794,0.67388,0.0014,0.57592,0.44264,0.46078,0.28229,1.70217,1.28661,0.00273,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16827.1,1.39533,0.66971,0.00138,0.58995,0.43244,0.45956,0.28104,1.7049,1.28825,0.00273,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17021.3,1.38933,0.66609,0.00138,0.58787,0.43624,0.46109,0.28203,1.70418,1.29048,0.00273,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,17214.2,1.39573,0.67147,0.00138,0.59223,0.437,0.46105,0.2829,1.70264,1.29073,0.00273,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17406.8,1.38516,0.66338,0.00138,0.59674,0.43288,0.4611,0.28304,1.70048,1.29326,0.00273,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17595.1,1.33467,0.62771,0.00144,0.59468,0.43169,0.45962,0.28193,1.70545,1.29472,0.00274,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17783.3,1.32215,0.6164,0.00141,0.59568,0.42979,0.45797,0.28047,1.70779,1.30352,0.00275,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17972.6,1.31609,0.61456,0.00139,0.58648,0.43044,0.45579,0.27926,1.70822,1.31195,0.00275,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18160.6,1.31148,0.60962,0.0014,0.58346,0.43165,0.45528,0.27906,1.71023,1.31822,0.00275,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18348.1,1.30663,0.60419,0.00139,0.58352,0.43121,0.45532,0.27875,1.71081,1.32123,0.00275,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18536.1,1.30166,0.60082,0.00137,0.58881,0.42817,0.45572,0.27922,1.70995,1.32698,0.00275,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18724.1,1.29951,0.59803,0.00137,0.58982,0.4302,0.45577,0.27908,1.70973,1.3298,0.00275,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18911.9,1.29404,0.59647,0.00136,0.58861,0.43059,0.45514,0.27912,1.71026,1.33299,0.00275,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19099.6,1.29117,0.59377,0.00135,0.58455,0.43078,0.45441,0.27868,1.71151,1.33616,0.00275,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19287.9,1.28826,0.59277,0.00135,0.59659,0.4265,0.45485,0.27897,1.71138,1.33807,0.00276,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
